Team,,Record,,&Delta;,Rat,,Pwr,,Off,,Def,,HFA,SoS,,SSF,,EW,EL
Mercer,Southern,15-17,0.469,+1,204,6.27,184,38.11,169,85.07,215,18.21,2.66,222,36.24,222,36.24,0.00,0.00
Delaware,Coastal,11-19,0.367,-5,237,6.11,185,37.98,140,86.63,264,16.53,2.67,229,35.97,229,35.97,0.00,0.00
Southern Indiana,OH Valley,24-6,0.800,+7,151,6.66,186,37.84,168,85.08,223,17.93,2.68,275,33.28,276,33.28,0.00,0.00
Massachusetts,Atlantic 10,5-27,0.156,+3,255,5.97,187,37.79,166,85.20,230,17.77,2.66,112,41.59,112,41.59,0.00,0.00
Idaho St,Big Sky,11-19,0.367,-14,207,6.26,188,37.76,245,80.47,127,22.46,2.77,146,39.55,146,39.55,0.00,0.00
Tennessee Tech,OH Valley,16-15,0.516,,210,6.25,189,37.72,141,86.59,269,16.30,2.70,254,34.30,254,34.30,0.00,0.00
Vermont,America East,21-10,0.677,-3,185,6.38,190,37.72,280,78.37,86,24.52,2.67,305,31.37,305,31.37,0.00,0.00
Abilene Chr,Western Athletic,14-15,0.483,-1,205,6.26,191,37.69,154,86.06,257,16.80,2.77,239,35.62,239,35.62,0.00,0.00
Appalachian St,Sun Belt,17-15,0.531,-5,176,6.45,192,37.62,117,88.30,302,14.49,2.72,167,38.83,168,38.83,0.00,0.00
Utah Tech,Western Athletic,18-13,0.581,+7,184,6.39,193,37.56,124,87.79,295,14.95,2.70,242,35.53,242,35.53,0.00,0.00
N Kentucky,Horizon,11-20,0.355,+7,223,6.19,194,37.54,127,87.51,290,15.21,2.67,162,38.97,164,38.97,0.00,0.00
UC Santa Barbara,Big West,16-14,0.533,-9,188,6.36,195,37.52,200,83.41,195,19.29,2.69,226,36.04,226,36.04,0.00,0.00
TN Martin,OH Valley,16-16,0.500,+5,208,6.26,196,37.42,229,81.66,157,20.94,2.69,246,35.21,246,35.21,0.00,0.00
Dayton,Atlantic 10,12-19,0.387,+6,206,6.26,197,37.35,177,84.75,228,17.78,2.65,152,39.23,153,39.23,0.00,0.00
New Mexico St,Conference USA,12-17,0.414,+10,197,6.29,198,37.32,253,79.86,121,22.64,2.73,165,38.91,165,38.91,0.00,0.00
Austin Peay,Atlantic Sun,17-15,0.531,+9,212,6.24,199,37.14,267,79.33,113,22.99,2.65,273,33.51,273,33.51,0.00,0.00
E Kentucky,Atlantic Sun,22-10,0.688,+5,180,6.41,200,37.11,159,85.76,265,16.52,2.68,291,32.40,292,32.40,0.00,0.00
Youngstown St,Horizon,14-18,0.438,+2,221,6.21,201,36.90,243,80.58,146,21.49,2.76,215,36.61,216,36.61,0.00,0.00
Brown,Ivy League,16-11,0.593,+3,165,6.52,202,36.69,208,82.89,199,18.97,2.59,157,39.14,158,39.14,0.00,0.00
Monmouth NJ,Coastal,21-8,0.724,+8,161,6.54,203,36.68,233,81.40,173,20.45,2.57,261,34.17,262,34.17,0.00,0.00
Arkansas St,Sun Belt,13-17,0.433,-14,217,6.23,204,36.58,193,83.98,229,17.77,2.73,199,37.33,202,37.33,0.00,0.00
FL Atlantic,American Athletic,11-19,0.367,-2,199,6.29,205,36.58,222,82.07,190,19.69,2.75,121,41.03,121,41.03,0.00,0.00
UC Riverside,Big West,17-12,0.586,+6,175,6.45,206,36.55,303,77.41,91,24.31,2.64,200,37.33,192,37.64,0.20,0.80
SUNY Albany,America East,25-5,0.833,-3,166,6.51,207,36.54,306,77.10,84,24.62,2.72,345,28.28,346,28.28,0.00,0.00
Texas St,Sun Belt,14-18,0.438,-7,226,6.18,208,36.49,230,81.49,179,20.17,2.64,237,35.68,237,35.68,0.00,0.00
Wofford,Southern,17-13,0.567,-2,216,6.23,209,36.37,188,84.08,238,17.46,2.73,285,32.69,283,32.69,0.00,0.00
Ark Little Rock,OH Valley,12-18,0.400,-7,225,6.18,210,36.30,328,75.41,63,26.06,2.76,189,37.90,189,37.90,0.00,0.00
Wright St,Horizon,17-14,0.548,+2,182,6.40,211,36.22,123,87.80,315,13.60,2.67,186,38.03,177,38.38,0.15,0.85
Loy Marymount,West Coast,11-19,0.367,+8,203,6.27,212,36.18,235,81.30,180,20.06,2.69,120,41.16,120,41.16,0.00,0.00
William & Mary,Coastal,15-13,0.536,-6,192,6.32,213,36.12,211,82.73,206,18.57,2.77,219,36.47,224,36.17,0.74,0.26
Ga Southern,Sun Belt,15-18,0.455,+1,230,6.15,214,36.11,116,88.31,320,12.96,2.78,249,35.02,249,35.02,0.00,0.00
ULM,Sun Belt,19-13,0.594,+1,179,6.42,215,35.89,157,85.91,291,15.15,2.59,211,36.93,211,36.93,0.00,0.00
SE Louisiana,Southland,18-11,0.621,-1,209,6.25,216,35.75,269,79.25,143,21.68,2.68,301,31.91,301,31.91,0.00,0.00
Cent Arkansas,Atlantic Sun,20-10,0.667,,183,6.39,217,35.75,270,79.20,142,21.72,2.69,272,33.55,272,33.55,0.00,0.00
Holy Cross,Patriot League,17-12,0.586,+4,235,6.13,218,35.62,259,79.47,148,21.32,2.60,318,30.53,317,30.53,0.00,0.00
Jacksonville St,Conference USA,12-16,0.429,+1,215,6.23,219,35.50,262,79.40,149,21.28,2.81,184,38.23,184,38.23,0.00,0.00
UC San Diego,Big West,12-19,0.387,-3,228,6.16,220,35.47,296,77.79,115,22.86,2.73,195,37.50,196,37.50,0.00,0.00
Coastal Car,Sun Belt,12-21,0.364,,234,6.14,221,35.45,167,85.13,285,15.49,2.76,173,38.65,173,38.65,0.00,0.00
TAM C. Christi,Southland,21-8,0.724,+3,196,6.30,222,35.41,242,80.61,183,19.97,2.67,344,28.71,344,28.71,0.00,0.00
N Illinois,Mid-American,15-15,0.500,+13,220,6.21,223,35.29,198,83.54,254,16.92,2.88,241,35.55,241,35.55,0.00,0.00
Georgia St,Sun Belt,15-15,0.500,-9,218,6.22,224,35.26,194,83.87,261,16.56,2.63,236,35.74,236,35.74,0.00,0.00
Ark Pine Bluff,Southwestern AC,16-15,0.516,-12,227,6.16,225,35.22,147,86.42,308,13.97,2.65,256,34.27,256,34.27,0.00,0.00
Akron,Mid-American,11-18,0.379,+1,236,6.11,226,35.21,218,82.27,216,18.11,2.73,192,37.61,193,37.61,0.00,0.00
ETSU,Southern,18-12,0.600,-12,214,6.23,227,35.19,291,77.94,129,22.42,2.63,290,32.41,291,32.41,0.00,0.00
IUPUI,Horizon,7-23,0.233,-2,263,5.90,228,35.09,146,86.44,311,13.82,2.78,169,38.80,170,38.80,0.00,0.00
Siena,Metro Atlantic,17-11,0.607,+6,222,6.20,229,34.96,181,84.58,283,15.55,2.64,297,32.16,297,32.16,0.00,0.00
Yale,Ivy League,8-19,0.296,-3,245,6.05,230,34.93,223,82.03,219,18.07,2.71,140,39.93,140,39.93,0.00,0.00
Southern Univ,Southwestern AC,15-14,0.517,+11,224,6.19,231,34.84,266,79.33,163,20.69,2.72,235,35.75,235,35.75,0.00,0.00
Niagara,Metro Atlantic,18-12,0.600,+6,211,6.25,232,34.84,130,87.41,326,12.60,2.69,260,34.18,261,34.18,0.00,0.00
CS Sacramento,Big Sky,6-24,0.200,+6,273,5.86,233,34.63,246,80.46,194,19.34,2.61,163,38.93,159,39.10,0.24,0.76
St Thomas MN,Summit Lg,15-15,0.500,-6,202,6.28,234,34.44,189,84.05,282,15.56,2.64,188,37.92,186,38.14,0.23,0.77
CS Fullerton,Big West,10-20,0.333,-2,238,6.09,235,34.31,241,80.91,204,18.57,2.67,153,39.22,154,39.22,0.00,0.00
E Illinois,OH Valley,15-18,0.455,+4,243,6.05,236,34.30,210,82.80,259,16.66,2.71,258,34.26,259,34.26,0.00,0.00
Lipscomb,Atlantic Sun,17-13,0.567,-18,219,6.21,237,34.27,196,83.70,280,15.74,2.51,257,34.27,258,34.27,0.00,0.00
W Michigan,Mid-American,13-17,0.433,-2,240,6.07,238,34.19,232,81.45,224,17.90,2.76,243,35.52,243,35.52,0.00,0.00
Lehigh,Patriot League,17-12,0.586,+8,242,6.06,239,34.18,156,85.92,316,13.44,2.73,323,30.09,322,30.09,0.61,0.39
UNC Greensboro,Southern,21-10,0.677,+14,213,6.23,240,34.13,275,78.82,172,20.48,2.71,322,30.14,316,30.54,0.25,0.75
Boston Univ,Patriot League,18-11,0.621,-11,233,6.14,241,34.09,228,81.70,235,17.56,2.75,313,30.77,318,30.52,0.79,0.21
Southern Utah,Western Athletic,8-21,0.276,+8,262,5.90,242,33.95,174,84.84,304,14.28,2.79,197,37.35,201,37.35,0.00,0.00
Grambling,Southwestern AC,21-8,0.724,+11,195,6.31,243,33.93,227,81.71,242,17.39,2.72,314,30.75,312,30.75,0.00,0.00
Campbell,Coastal,16-13,0.552,-3,232,6.15,244,33.76,322,75.82,110,23.11,2.64,283,32.82,281,32.82,0.00,0.00
Oakland,Horizon,12-17,0.414,,241,6.07,245,33.76,135,87.03,334,11.90,2.71,216,36.49,217,36.49,0.00,0.00
Stetson,Atlantic Sun,17-14,0.548,-7,231,6.15,246,33.69,316,76.27,123,22.59,2.61,274,33.39,274,33.39,0.00,0.00
Howard,Mid-Eastern AC,13-15,0.464,-1,254,5.99,247,33.61,278,78.55,178,20.24,2.66,282,32.87,287,32.57,0.78,0.22
Denver,Summit Lg,8-22,0.267,+3,265,5.89,248,33.49,209,82.84,277,15.83,2.70,190,37.85,190,37.85,0.00,0.00
La Salle,Atlantic 10,8-22,0.267,,244,6.05,249,33.47,225,81.79,256,16.85,2.77,109,41.82,109,41.82,0.00,0.00
Ohio,Mid-American,11-18,0.379,+4,247,6.03,250,33.36,191,83.99,301,14.54,2.80,194,37.51,195,37.51,0.00,0.00
Indiana St,Missouri Val,10-20,0.333,-4,249,6.02,251,33.31,214,82.46,274,16.02,2.70,166,38.87,167,38.87,0.00,0.00
North Dakota,Summit Lg,9-20,0.310,+4,258,5.92,252,32.90,152,86.11,332,11.96,2.84,198,37.33,199,37.44,0.29,0.71
Colgate,Patriot League,17-12,0.586,+2,252,6.01,253,32.77,302,77.42,171,20.52,2.55,328,29.64,329,29.64,0.00,0.00
W Illinois,OH Valley,18-12,0.600,,248,6.03,254,32.65,163,85.25,327,12.57,2.77,335,29.37,335,29.37,0.00,0.00
Missouri KC,Summit Lg,12-20,0.375,-2,257,5.92,255,32.63,249,80.18,234,17.62,2.77,250,35.01,250,35.01,0.00,0.00
Sam Houston St,Conference USA,7-21,0.250,-7,282,5.80,256,32.38,178,84.74,322,12.82,2.73,205,37.14,204,37.14,0.00,0.00
Samford,Southern,14-16,0.467,-2,251,6.01,257,32.29,279,78.39,198,19.07,2.76,266,33.81,267,33.81,0.00,0.00
San Jose St,Mountain West,7-23,0.233,-2,275,5.83,258,32.19,247,80.39,251,16.97,2.73,172,38.65,171,38.79,0.21,0.79
Quinnipiac,Metro Atlantic,12-17,0.414,+9,267,5.88,259,31.99,265,79.34,227,17.82,2.80,276,33.27,282,32.76,0.89,0.11
Xavier,Big East,1-27,0.036,-1,301,5.64,260,31.90,273,78.85,214,18.22,2.81,76,48.49,76,48.49,0.00,0.00
Manhattan,Metro Atlantic,18-11,0.621,+1,239,6.08,261,31.79,315,76.29,165,20.67,2.74,315,30.74,313,30.74,0.00,0.00
Miami OH,Mid-American,9-20,0.310,+1,256,5.95,262,31.73,297,77.66,196,19.24,2.79,168,38.80,169,38.80,0.00,0.00
Bucknell,Patriot League,13-17,0.433,-2,268,5.87,263,31.64,318,76.18,168,20.63,2.75,281,32.88,280,32.88,0.00,0.00
Kennesaw,Atlantic Sun,11-19,0.367,+2,261,5.91,264,31.49,255,79.62,250,17.04,2.79,232,35.85,231,35.85,0.00,0.00
Sacred Heart,Northeast,21-9,0.700,+2,250,6.02,265,31.41,254,79.70,255,16.88,2.60,354,26.58,354,26.15,0.95,0.05
North Alabama,Atlantic Sun,12-18,0.400,-2,266,5.89,266,31.40,179,84.70,335,11.87,2.65,259,34.25,260,34.25,0.00,0.00
Jacksonville,Atlantic Sun,11-20,0.355,+8,276,5.82,267,31.38,234,81.33,288,15.22,2.65,251,34.73,252,34.73,0.00,0.00
NE Omaha,Summit Lg,8-23,0.258,+4,288,5.77,268,31.35,126,87.62,354,8.90,2.68,209,37.00,209,37.00,0.00,0.00
Incarnate Word,Southland,18-10,0.643,-3,246,6.05,269,31.27,308,76.78,191,19.66,2.60,330,29.53,330,29.53,0.00,0.00
Northeastern,Coastal,9-16,0.360,,285,5.79,270,31.19,274,78.82,236,17.54,2.75,267,33.75,257,34.27,0.47,1.53
Elon,Coastal,11-20,0.355,+5,272,5.86,271,31.11,329,75.26,154,21.03,2.72,245,35.33,244,35.33,0.00,0.00
Detroit,Horizon,17-16,0.515,-3,229,6.15,272,31.05,300,77.52,202,18.70,2.69,214,36.71,215,36.71,0.00,0.00
High Point,Big South,20-11,0.645,-7,253,6.00,273,30.99,252,79.87,270,16.29,2.63,336,29.35,337,29.35,0.00,0.00
Cornell,Ivy League,7-19,0.269,-3,274,5.86,274,30.94,288,78.09,220,18.02,2.68,141,39.65,141,39.65,0.00,0.00
MD E Shore,Mid-Eastern AC,15-14,0.517,+5,260,5.91,275,30.87,282,78.34,233,17.70,2.67,309,31.02,309,31.02,0.00,0.00
Furman,Southern,15-16,0.484,-4,271,5.87,276,30.79,238,81.19,297,14.78,2.79,312,30.85,311,30.85,0.00,0.00
Utah Valley,Western Athletic,10-19,0.345,-1,270,5.87,277,30.78,299,77.53,210,18.42,2.80,228,35.98,228,35.98,0.00,0.00
E Michigan,Mid-American,7-22,0.241,+5,290,5.73,278,30.72,289,78.06,225,17.83,2.75,196,37.43,200,37.43,0.00,0.00
Alabama A&M,Southwestern AC,15-15,0.500,-10,269,5.87,279,30.66,307,77.06,200,18.77,2.75,317,30.60,315,30.60,0.00,0.00
Valparaiso,Missouri Val,5-24,0.172,-3,299,5.65,280,30.58,244,80.54,289,15.21,2.71,170,38.71,172,38.71,0.00,0.00
Weber St,Big Sky,8-24,0.250,+4,277,5.82,281,30.48,284,78.20,239,17.45,2.78,158,39.07,150,39.29,0.11,0.89
Coppin St,Mid-Eastern AC,11-17,0.393,+8,281,5.80,282,30.34,330,75.12,175,20.39,2.62,270,33.69,270,33.69,0.00,0.00
Binghamton,America East,14-16,0.467,+2,291,5.73,283,30.28,281,78.34,247,17.11,2.64,342,28.88,336,29.35,0.14,0.86
CS Bakersfield,Big West,8-21,0.276,-6,286,5.78,284,30.19,283,78.23,246,17.13,2.70,213,36.81,214,36.81,0.00,0.00
Pepperdine,West Coast,5-25,0.167,-3,289,5.74,285,30.14,294,77.82,237,17.49,2.88,116,41.34,116,41.34,0.00,0.00
Bethune-Cookman,Southwestern AC,15-16,0.484,-7,279,5.81,286,30.08,260,79.45,278,15.81,2.59,324,30.00,323,30.00,0.00,0.00
Tarleton St,Western Athletic,11-19,0.367,+3,280,5.81,287,30.01,290,77.95,243,17.23,2.73,255,34.30,255,34.30,0.00,0.00
SE Missouri St,OH Valley,9-20,0.310,+1,293,5.69,288,29.86,277,78.61,268,16.42,2.73,269,33.71,269,33.71,0.00,0.00
UTRGV,Western Athletic,6-23,0.207,-4,295,5.68,289,29.72,276,78.61,271,16.28,2.69,185,38.12,187,38.12,0.00,0.00
C Michigan,Mid-American,6-22,0.214,-10,307,5.62,290,29.69,231,81.46,317,13.41,2.74,217,36.48,218,36.48,0.00,0.00
Iona,Metro Atlantic,11-18,0.379,-4,294,5.68,291,29.58,304,77.32,240,17.43,2.70,304,31.43,304,31.43,0.00,0.00
Morehead St,OH Valley,15-15,0.500,-3,259,5.91,292,29.57,261,79.44,287,15.30,2.71,288,32.63,286,32.63,0.00,0.00
St Bonaventure,Atlantic 10,4-26,0.133,-5,312,5.59,293,29.46,317,76.20,209,18.43,2.87,139,40.09,139,40.09,0.00,0.00
Seattle,Western Athletic,6-23,0.207,+5,296,5.67,294,29.42,221,82.07,328,12.53,2.76,182,38.32,182,38.32,0.00,0.00
TX A&M Commerce,Southland,13-15,0.464,+1,287,5.77,295,29.07,171,85.04,353,9.21,2.76,306,31.26,308,31.06,0.60,0.40
Mt St Mary's,Metro Atlantic,13-16,0.448,-2,284,5.80,296,28.80,336,74.28,189,19.69,2.79,299,32.06,299,32.06,0.00,0.00
American Univ,Patriot League,10-20,0.333,+5,303,5.63,297,28.52,272,78.98,299,14.72,2.74,294,32.36,295,32.36,0.00,0.00
Canisius,Metro Atlantic,16-13,0.552,-4,264,5.89,298,28.46,293,77.84,279,15.80,2.71,307,31.12,306,31.12,0.00,0.00
F Dickinson,Northeast,13-16,0.448,+4,317,5.54,299,28.38,321,75.82,232,17.73,2.65,353,26.68,353,26.29,0.86,0.14
Portland St,Big Sky,8-23,0.258,-5,292,5.71,300,28.17,301,77.45,275,15.89,2.77,193,37.61,194,37.61,0.00,0.00
North Florida,Atlantic Sun,9-21,0.300,-1,318,5.53,301,28.13,250,80.18,319,13.12,2.77,298,32.15,298,32.15,0.00,0.00
Loyola MD,Patriot League,15-14,0.517,-4,278,5.81,302,27.81,323,75.81,244,17.17,2.64,308,31.06,307,31.08,0.39,0.61
Robert Morris,Horizon,6-24,0.200,-4,320,5.53,303,27.67,333,74.75,217,18.09,2.82,221,36.30,221,36.30,0.00,0.00
CS Northridge,Big West,3-27,0.100,+3,335,5.32,304,27.64,292,77.84,293,14.97,2.70,208,37.04,207,37.04,0.00,0.00
Bradley,Missouri Val,6-25,0.194,,313,5.57,305,27.62,257,79.59,318,13.21,2.78,179,38.38,179,38.38,0.00,0.00
Hofstra,Coastal,9-20,0.310,-4,316,5.54,306,27.34,341,73.95,207,18.56,2.70,302,31.83,302,31.83,0.00,0.00
Le Moyne,Northeast,16-13,0.552,-5,283,5.80,307,27.18,337,74.28,218,18.07,2.71,311,30.88,320,30.26,0.90,0.10
Tennessee St,OH Valley,11-19,0.367,+5,304,5.63,308,27.08,263,79.39,321,12.87,2.74,300,31.91,300,31.91,0.00,0.00
New Orleans,Southland,11-18,0.379,+3,300,5.64,309,27.01,258,79.57,325,12.60,2.65,284,32.80,288,32.54,0.55,0.45
Radford,Big South,15-17,0.469,+9,302,5.63,310,26.91,331,75.11,252,16.96,2.84,339,29.23,340,29.14,0.52,0.48
Army,Patriot League,12-16,0.429,-7,311,5.60,311,26.86,312,76.58,286,15.45,2.60,337,29.25,331,29.53,0.21,0.79
Bellarmine,Atlantic Sun,10-19,0.345,-8,306,5.62,312,26.85,216,82.31,351,9.71,2.74,277,33.26,277,33.26,0.00,0.00
Marist,Metro Atlantic,6-24,0.200,+4,332,5.38,313,26.76,332,74.84,248,17.09,2.72,278,33.06,278,33.06,0.00,0.00
SIUE,OH Valley,5-26,0.161,+3,336,5.31,314,26.75,186,84.13,357,7.79,2.78,265,33.96,266,33.96,0.00,0.00
NC Central,Mid-Eastern AC,15-14,0.517,+8,297,5.66,315,26.66,239,81.18,345,10.65,2.74,347,28.18,347,28.18,0.00,0.00
Gardner Webb,Big South,6-24,0.200,-3,343,5.24,316,26.65,195,83.75,356,8.08,2.71,316,30.73,314,30.73,0.00,0.00
South Alabama,Sun Belt,9-23,0.281,-6,308,5.61,317,26.57,285,78.14,314,13.60,2.80,238,35.66,238,35.66,0.00,0.00
Presbyterian,Big South,19-14,0.576,+12,298,5.66,318,26.43,338,74.21,241,17.40,2.79,358,25.74,358,25.78,0.48,0.52
Alcorn St,Southwestern AC,10-19,0.345,+6,319,5.53,319,25.86,349,73.29,231,17.74,2.77,293,32.38,294,32.38,0.00,0.00
Northwestern LA,Southland,12-18,0.400,,315,5.55,320,25.61,335,74.29,266,16.49,2.69,320,30.20,321,30.17,0.40,0.60
Hampton,Coastal,3-25,0.107,-2,344,5.21,321,25.58,311,76.59,306,14.16,2.72,230,35.93,230,35.93,0.00,0.00
SC Upstate,Big South,16-15,0.516,-4,310,5.60,322,25.55,340,74.04,258,16.68,2.68,350,27.57,350,27.57,0.00,0.00
Dartmouth,Ivy League,7-19,0.269,,323,5.50,323,25.52,357,70.05,167,20.64,2.62,253,34.37,251,34.86,0.01,0.99
Prairie View,Southwestern AC,11-17,0.393,-5,325,5.49,324,25.51,271,79.00,337,11.68,2.74,331,29.51,332,29.51,0.00,0.00
Morgan St,Mid-Eastern AC,8-21,0.276,-4,337,5.31,325,25.49,345,73.58,249,17.09,2.69,329,29.63,326,29.82,0.22,0.78
NJIT,America East,12-18,0.400,,322,5.50,326,25.47,319,76.07,300,14.57,2.69,332,29.47,333,29.47,0.00,0.00
Florida A&M,Southwestern AC,9-20,0.310,+5,321,5.52,327,25.44,286,78.10,329,12.51,2.66,264,33.97,265,33.97,0.00,0.00
Evansville,Missouri Val,5-27,0.156,+3,334,5.33,328,25.41,237,81.22,352,9.36,2.83,218,36.47,219,36.47,0.00,0.00
Nicholls St,Southland,13-17,0.433,,314,5.57,329,25.40,310,76.76,312,13.81,2.71,334,29.37,338,29.30,0.45,0.55
UMBC,America East,10-19,0.345,,327,5.42,330,25.27,313,76.56,310,13.89,2.73,333,29.43,334,29.43,0.00,0.00
Lafayette,Patriot League,10-20,0.333,-6,324,5.49,331,25.19,342,73.74,260,16.62,2.70,303,31.68,303,31.68,0.00,0.00
Bryant,America East,15-15,0.500,-6,305,5.63,332,25.14,320,76.06,305,14.26,2.77,343,28.83,343,28.83,0.00,0.00
Navy,Patriot League,14-16,0.467,+10,309,5.61,333,25.08,314,76.55,313,13.70,2.73,338,29.23,339,29.23,0.00,0.00
New Hampshire,America East,9-20,0.310,+2,328,5.39,334,25.02,353,72.23,221,17.96,2.75,319,30.43,319,30.43,0.00,0.00
Utah St,Mountain West,5-24,0.172,-1,329,5.39,335,24.60,264,79.37,346,10.40,2.80,201,37.31,197,37.48,0.09,0.91
Lindenwood,OH Valley,7-21,0.250,+1,330,5.38,336,24.35,268,79.27,347,10.25,2.80,280,33.01,279,33.01,0.00,0.00
MA Lowell,America East,4-25,0.138,,345,5.17,337,24.33,351,73.06,267,16.44,2.71,263,33.98,264,33.98,0.00,0.00
Longwood,Big South,9-21,0.300,-3,338,5.30,338,24.22,295,77.81,338,11.58,2.77,340,29.14,341,29.14,0.00,0.00
Rider,Metro Atlantic,9-20,0.310,-2,326,5.46,339,24.08,334,74.52,298,14.74,2.67,292,32.39,293,32.39,0.00,0.00
TX Southern,Southwestern AC,7-22,0.241,+5,339,5.29,340,23.43,298,77.60,343,11.00,2.77,289,32.45,290,32.45,0.00,0.00
Charleston So,Big South,11-19,0.367,-2,331,5.38,341,22.87,324,75.71,330,12.33,2.78,326,29.84,325,29.84,0.00,0.00
Merrimack,Northeast,11-18,0.379,-6,340,5.28,342,22.75,325,75.60,331,12.32,2.68,352,26.83,352,26.49,0.67,0.33
UNC Asheville,Big South,11-20,0.355,+1,342,5.24,343,22.70,346,73.39,303,14.48,2.71,355,26.06,355,26.06,0.00,0.00
Alabama St,Southwestern AC,3-26,0.103,,349,5.07,344,22.39,344,73.65,309,13.91,2.88,227,36.01,227,36.01,0.00,0.00
Houston Chr,Southland,6-23,0.207,,350,5.05,345,21.85,354,71.14,276,15.89,2.74,341,29.04,342,29.04,0.00,0.00
St Peter's,Metro Atlantic,7-22,0.241,,341,5.25,346,21.81,358,70.02,253,16.96,2.76,295,32.33,289,32.50,0.11,0.89
Winthrop,Big South,14-16,0.467,-1,333,5.35,347,21.54,355,70.61,272,16.10,2.67,356,25.98,356,25.98,0.00,0.00
W Carolina,Southern,6-24,0.200,,351,5.05,348,20.89,350,73.28,323,12.78,2.72,325,29.88,324,29.88,0.00,0.00
UNC Wilmington,Coastal,5-24,0.172,-1,348,5.11,349,20.41,339,74.18,340,11.40,2.77,268,33.71,268,33.71,0.00,0.00
Central Conn,Northeast,9-20,0.310,+1,347,5.11,350,20.26,343,73.73,336,11.70,2.66,349,27.67,349,27.62,0.33,0.67
Delaware St,Mid-Eastern AC,8-19,0.296,,346,5.13,351,19.46,347,73.34,341,11.29,2.76,327,29.75,327,29.75,0.00,0.00
MS Valley St,Southwestern AC,4-27,0.129,,352,4.95,352,18.95,326,75.56,355,8.56,2.71,252,34.51,253,34.51,0.00,0.00
McNeese St,Southland,6-25,0.194,-1,356,4.81,353,18.85,251,79.93,359,4.09,2.76,357,25.98,357,25.98,0.00,0.00
LIU Brooklyn,Northeast,8-21,0.276,,354,4.89,354,18.36,348,73.31,349,10.22,2.66,359,24.85,359,25.10,0.14,0.86
Wagner,Northeast,8-21,0.276,+1,355,4.87,355,18.30,352,72.70,344,10.77,2.73,360,23.75,360,23.75,0.00,0.00
Queens NC,Atlantic Sun,7-22,0.241,,353,4.90,356,17.86,327,75.50,358,7.53,2.61,351,27.06,351,27.06,0.00,0.00
Stonehill,Northeast,4-25,0.138,,358,4.64,357,15.43,356,70.36,348,10.23,2.74,346,28.23,345,28.36,0.10,0.90
St Francis PA,Northeast,5-24,0.172,,357,4.69,358,14.62,359,69.72,350,10.07,2.79,348,27.71,348,27.97,0.05,0.95
S Carolina St,Mid-Eastern AC,2-27,0.069,,359,4.58,359,14.51,360,67.75,333,11.93,2.81,279,33.05,275,33.37,0.01,0.99
Chicago St,D1 Independent,1-26,0.037,,360,4.40,360,14.47,309,76.77,360,2.87,2.80,286,32.65,284,32.65,0.00,0.00
