"Season","team1","team2","result","home"
2016,3107,3196,1,-1
2016,3113,3308,1,1
2016,3120,3385,1,0
2016,3124,3225,1,1
2016,3177,3241,1,0
2016,3203,3243,0,0
2016,3146,3257,0,-1
2016,3125,3277,0,0
2016,3151,3280,0,-1
2016,3138,3326,0,-1
2016,3333,3407,1,1
2016,3239,3376,0,-1
2016,3329,3382,0,0
2016,3119,3393,0,-1
2016,3397,3453,1,0
2016,3343,3452,0,0
2016,3163,3352,1,1
2016,3182,3371,1,0
2016,3199,3292,1,0
2016,3208,3231,0,0
2016,3246,3421,1,1
2016,3233,3268,0,-1
2016,3140,3281,0,0
2016,3299,3323,0,-1
2016,3328,3345,1,0
2016,3274,3355,0,0
2016,3161,3378,0,0
2016,3362,3390,0,-1
2016,3106,3400,0,-1
2016,3283,3401,0,-1
2016,3218,3417,0,-1
2016,3335,3449,0,0
2016,3120,3124,0,-1
2016,3177,3257,1,-1
2016,3277,3280,0,1
2016,3326,3452,1,1
2016,3333,3382,1,1
2016,3243,3376,0,-1
2016,3107,3393,0,-1
2016,3113,3397,0,1
2016,3163,3182,1,1
2016,3199,3401,1,-1
2016,3246,3328,1,1
2016,3231,3323,0,-1
2016,3355,3390,0,-1
2016,3281,3400,0,-1
2016,3378,3417,0,-1
2016,3268,3449,0,1
2016,3323,3390,0,0
2016,3376,3393,0,0
2016,3326,3397,0,0
2016,3246,3449,0,0
2016,3124,3199,1,0
2016,3163,3280,1,0
2016,3177,3333,0,0
2016,3400,3417,1,0
2016,3393,3397,1,0
2016,3390,3449,0,0
2016,3163,3400,1,0
2016,3124,3333,0,0
2016,3163,3333,1,0
2016,3393,3449,1,0
2016,3163,3393,1,0
2017,3113,3277,1,0
2017,3166,3405,1,0
2017,3177,3320,1,0
2017,3199,3442,1,1
2017,3125,3246,0,-1
2017,3137,3268,0,-1
2017,3280,3407,1,1
2017,3281,3378,1,0
2017,3120,3301,0,0
2017,3323,3352,1,1
2017,3326,3443,1,0
2017,3253,3333,0,-1
2017,3345,3453,1,0
2017,3376,3421,1,1
2017,3146,3400,0,-1
2017,3189,3452,0,0
2017,3124,3411,1,1
2017,3143,3261,1,0
2017,3107,3163,0,-1
2017,3181,3214,1,1
2017,3179,3243,0,-1
2017,3151,3257,0,-1
2017,3195,3274,0,-1
2017,3211,3328,0,0
2017,3332,3396,1,0
2017,3266,3346,0,0
2017,3308,3390,0,0
2017,3235,3393,0,0
2017,3173,3397,0,0
2017,3335,3401,0,0
2017,3129,3417,0,-1
2017,3286,3449,0,-1
2017,3199,3281,1,1
2017,3268,3452,1,1
2017,3177,3280,0,-1
2017,3323,3345,1,1
2017,3246,3326,0,1
2017,3166,3333,0,-1
2017,3113,3376,0,-1
2017,3301,3400,0,-1
2017,3124,3143,1,1
2017,3163,3393,1,1
2017,3257,3397,1,1
2017,3181,3332,0,1
2017,3274,3346,0,1
2017,3243,3390,0,1
2017,3401,3417,0,-1
2017,3328,3449,0,-1
2017,3124,3257,1,0
2017,3280,3449,1,0
2017,3323,3326,1,0
2017,3390,3400,1,0
2017,3163,3417,1,1
2017,3199,3333,1,0
2017,3268,3332,0,0
2017,3346,3376,0,0
2017,3124,3280,0,0
2017,3323,3390,0,0
2017,3163,3332,1,1
2017,3199,3376,0,0
2017,3163,3280,0,0
2017,3376,3390,1,0
2017,3280,3376,0,0
2018,3124,3212,1,1
2018,3177,3328,1,0
2018,3129,3257,0,-1
2018,3173,3266,0,0
2018,3268,3343,1,0
2018,3276,3294,1,0
2018,3278,3453,1,0
2018,3189,3301,0,-1
2018,3169,3323,0,-1
2018,3332,3370,1,1
2018,3333,3443,1,0
2018,3299,3376,0,-1
2018,3251,3397,0,-1
2018,3179,3401,0,-1
2018,3355,3437,0,0
2018,3143,3438,0,0
2018,3113,3304,1,0
2018,3138,3378,1,0
2018,3141,3261,1,0
2018,3163,3384,1,1
2018,3166,3234,1,0
2018,3125,3181,0,0
2018,3195,3281,1,0
2018,3114,3199,0,-1
2018,3208,3273,1,1
2018,3280,3311,1,1
2018,3203,3326,0,-1
2018,3329,3393,1,0
2018,3274,3346,0,0
2018,3211,3390,0,-1
2018,3263,3400,0,-1
2018,3110,3417,0,-1
2018,3124,3276,1,1
2018,3257,3266,1,1
2018,3268,3301,0,-1
2018,3323,3437,1,1
2018,3278,3332,0,-1
2018,3333,3397,1,-1
2018,3376,3438,1,1
2018,3177,3401,0,-1
2018,3138,3199,1,-1
2018,3141,3326,1,-1
2018,3163,3346,1,1
2018,3181,3208,1,-1
2018,3280,3329,1,1
2018,3195,3390,0,-1
2018,3113,3400,0,-1
2018,3166,3417,0,-1
2018,3257,3390,1,1
2018,3280,3301,1,0
2018,3124,3333,0,0
2018,3400,3417,0,0
2018,3163,3181,1,0
2018,3323,3401,1,0
2018,3141,3332,0,0
2018,3138,3376,0,0
2018,3257,3333,1,0
2018,3280,3417,1,0
2018,3163,3376,1,0
2018,3323,3332,1,0
2018,3257,3280,0,0
2018,3163,3323,0,0
2018,3280,3323,0,0
2019,3113,3416,1,0
2019,3138,3353,1,0
2019,3155,3377,1,0
2019,3163,3406,1,1
2019,3137,3199,0,0
2019,3231,3400,1,0
2019,3234,3273,1,1
2019,3257,3352,1,1
2019,3266,3349,1,0
2019,3195,3274,0,-1
2019,3243,3276,0,0
2019,3280,3380,1,1
2019,3179,3281,0,0
2019,3332,3340,1,1
2019,3125,3376,0,0
2019,3401,3460,1,1
2019,3101,3124,0,-1
2019,3120,3140,0,0
2019,3143,3314,1,0
2019,3114,3211,0,0
2019,3235,3308,1,1
2019,3246,3343,1,0
2019,3268,3347,1,1
2019,3141,3277,0,0
2019,3177,3283,0,0
2019,3263,3301,0,-1
2019,3126,3323,0,-1
2019,3129,3333,0,-1
2019,3346,3355,0,0
2019,3390,3413,1,1
2019,3200,3393,0,-1
2019,3397,3417,0,0
2019,3113,3274,1,-1
2019,3138,3163,0,-1
2019,3234,3281,1,1
2019,3257,3276,1,1
2019,3155,3280,0,-1
2019,3231,3332,0,-1
2019,3199,3376,0,-1
2019,3266,3401,0,-1
2019,3124,3143,1,1
2019,3235,3283,0,1
2019,3246,3301,0,-1
2019,3277,3323,0,-1
2019,3211,3333,0,-1
2019,3355,3393,1,-1
2019,3140,3390,0,-1
2019,3268,3417,0,1
2019,3163,3417,1,1
2019,3257,3333,1,0
2019,3113,3280,0,0
2019,3332,3355,1,1
2019,3124,3376,1,0
2019,3234,3301,1,-1
2019,3323,3401,1,1
2019,3283,3390,0,0
2019,3163,3257,1,1
2019,3280,3332,0,-1
2019,3124,3234,1,0
2019,3323,3390,1,1
2019,3124,3332,1,0
2019,3163,3323,0,0
2019,3124,3323,1,0
2021,3124,3238,1,0
2021,3163,3219,1,0
2021,3210,3372,1,0
2021,3141,3234,0,0
2021,3226,3246,0,0
2021,3195,3276,0,0
2021,3299,3301,0,0
2021,3329,3448,1,0
2021,3199,3333,0,0
2021,3273,3376,0,0
2021,3378,3450,1,0
2021,3390,3430,1,0
2021,3355,3393,0,0
2021,3292,3397,0,0
2021,3266,3439,0,0
2021,3250,3452,0,0
2021,3104,3314,1,0
2021,3112,3392,1,0
2021,3125,3211,1,0
2021,3140,3353,1,0
2021,3180,3208,0,0
2021,3231,3433,1,0
2021,3235,3277,1,0
2021,3257,3265,1,0
2021,3268,3291,1,0
2021,3283,3413,1,0
2021,3321,3416,1,0
2021,3332,3377,1,0
2021,3133,3400,0,0
2021,3401,3407,1,0
2021,3417,3461,1,0
2021,3116,3460,0,0
2021,3124,3439,1,0
2021,3163,3393,1,0
2021,3210,3452,1,0
2021,3234,3246,1,0
2021,3276,3397,1,0
2021,3301,3378,1,0
2021,3333,3376,0,0
2021,3329,3390,0,0
2021,3112,3140,1,0
2021,3125,3231,0,0
2021,3257,3321,1,0
2021,3104,3268,0,0
2021,3283,3460,1,0
2021,3208,3332,0,0
2021,3400,3417,1,0
2021,3235,3401,0,0
2021,3112,3401,1,0
2021,3124,3276,1,0
2021,3163,3234,1,0
2021,3231,3301,1,0
2021,3257,3332,1,0
2021,3210,3376,0,0
2021,3283,3390,0,0
2021,3268,3400,0,0
2021,3112,3231,1,0
2021,3124,3163,0,0
2021,3376,3400,1,0
2021,3257,3390,0,0
2021,3112,3163,1,0
2021,3376,3390,0,0
2021,3112,3390,0,0
2022,3173,3177,1,0
2022,3224,3230,1,0
2022,3255,3291,1,0
2022,3199,3283,0,0
2022,3124,3218,1,1
2022,3160,3166,0,0
2022,3195,3439,1,0
2022,3173,3208,0,-1
2022,3211,3304,1,0
2022,3229,3234,0,-1
2022,3235,3426,1,1
2022,3210,3242,0,0
2022,3107,3257,0,-1
2022,3174,3268,0,-1
2022,3274,3378,1,0
2022,3224,3376,0,-1
2022,3279,3377,0,0
2022,3286,3390,0,-1
2022,3193,3400,0,-1
2022,3116,3428,0,0
2022,3112,3424,1,1
2022,3125,3332,1,0
2022,3163,3273,1,1
2022,3150,3231,0,-1
2022,3243,3450,1,0
2022,3238,3261,0,-1
2022,3110,3276,0,-1
2022,3255,3301,0,-1
2022,3314,3372,1,0
2022,3269,3323,0,0
2022,3283,3326,0,0
2022,3237,3328,0,-1
2022,3246,3343,0,0
2022,3138,3397,0,-1
2022,3196,3416,0,0
2022,3140,3437,0,0
2022,3166,3234,1,-1
2022,3208,3235,0,-1
2022,3211,3257,0,-1
2022,3195,3268,0,-1
2022,3274,3376,0,0
2022,3124,3377,0,1
2022,3242,3390,0,-1
2022,3400,3428,1,1
2022,3163,3416,1,1
2022,3231,3343,1,1
2022,3276,3437,1,1
2022,3243,3301,0,-1
2022,3112,3314,0,1
2022,3323,3328,1,-1
2022,3261,3326,0,1
2022,3125,3397,0,-1
2022,3166,3235,1,0
2022,3314,3376,0,0
2022,3268,3390,0,0
2022,3326,3400,0,0
2022,3163,3231,1,1
2022,3257,3397,1,0
2022,3276,3377,1,0
2022,3301,3323,1,0
2022,3166,3376,0,0
2022,3390,3400,1,0
2022,3163,3301,1,0
2022,3257,3276,1,0
2022,3163,3390,1,0
2022,3257,3376,0,0
2022,3163,3376,0,0
